id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,trust boundary,100,44,27,20,303,ship,baseline,monotonic-signal
g002,claim drift,116,31,39,72,406,ship,edge,drag-penalty
g003,replay exposure,83,27,5,30,321,ship,recovery,confidence-floor
g004,policy width,70,27,31,86,316,ship,negative,lane-boundary
g005,trust boundary,67,65,4,75,404,ship,baseline,monotonic-signal
g006,claim drift,69,51,34,74,304,ship,edge,drag-penalty
g007,replay exposure,74,47,8,35,315,ship,recovery,confidence-floor
g008,policy width,36,47,18,63,227,ship,negative,lane-boundary
g009,trust boundary,64,15,24,82,299,ship,baseline,monotonic-signal
g010,claim drift,82,71,29,96,422,ship,edge,drag-penalty
g011,replay exposure,94,32,12,64,406,ship,recovery,confidence-floor
g012,policy width,104,50,5,96,539,ship,negative,lane-boundary
g013,trust boundary,68,26,18,30,236,ship,baseline,monotonic-signal
g014,claim drift,98,52,32,88,426,ship,edge,drag-penalty
g015,replay exposure,116,32,19,78,479,ship,recovery,confidence-floor
g016,policy width,41,25,14,78,262,ship,negative,lane-boundary
g017,trust boundary,51,24,13,82,302,ship,baseline,monotonic-signal
g018,claim drift,103,61,35,89,443,ship,edge,drag-penalty
g019,replay exposure,45,47,6,97,358,ship,recovery,confidence-floor
g020,policy width,107,42,14,105,531,ship,negative,lane-boundary
g021,trust boundary,98,42,40,71,358,ship,baseline,monotonic-signal
g022,claim drift,53,45,34,29,160,watch,edge,drag-penalty
g023,replay exposure,78,49,32,85,357,ship,recovery,confidence-floor
g024,policy width,50,18,12,74,280,ship,negative,lane-boundary
g025,trust boundary,39,50,24,73,241,ship,baseline,monotonic-signal
g026,claim drift,81,24,32,34,239,ship,edge,drag-penalty
g027,replay exposure,106,13,16,62,407,ship,recovery,confidence-floor
g028,policy width,78,10,31,81,313,ship,negative,lane-boundary
g029,trust boundary,67,11,19,95,345,ship,baseline,monotonic-signal
g030,claim drift,109,49,35,63,397,ship,edge,drag-penalty
g031,replay exposure,46,36,45,95,229,ship,recovery,confidence-floor
g032,policy width,53,32,9,29,222,ship,negative,lane-boundary
g033,trust boundary,69,32,14,87,371,ship,baseline,monotonic-signal
g034,claim drift,36,70,39,77,215,ship,edge,drag-penalty
g035,replay exposure,111,56,32,77,447,ship,recovery,confidence-floor
g036,policy width,108,52,45,81,403,ship,negative,lane-boundary
g037,trust boundary,110,52,17,88,507,ship,baseline,monotonic-signal
g038,claim drift,115,20,4,96,545,ship,edge,drag-penalty
g039,replay exposure,77,76,41,104,392,ship,recovery,confidence-floor
g040,policy width,105,37,40,70,372,ship,negative,lane-boundary
g041,trust boundary,35,55,20,28,156,watch,baseline,monotonic-signal
g042,claim drift,47,31,33,84,241,ship,edge,drag-penalty
g043,replay exposure,57,57,41,73,251,ship,recovery,confidence-floor
g044,policy width,109,37,25,72,433,ship,negative,lane-boundary
g045,trust boundary,51,30,19,33,192,watch,baseline,monotonic-signal
g046,claim drift,69,29,17,61,307,ship,edge,drag-penalty
g047,replay exposure,82,66,39,80,355,ship,recovery,confidence-floor
g048,policy width,92,52,9,94,489,ship,negative,lane-boundary
g049,trust boundary,56,47,17,62,288,ship,baseline,monotonic-signal
